회사명,종목코드,주요제품,홈페이지,sector,theme,계열사
빙그레,5180,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조",http://www.bing.co.kr,식품,여름,
녹십자홀딩스,5250,"알부민,유로키나제,간염백신,유행성출혈열백신 제조",http://www.greencross.com,제약,"백신/진단시약/방역(신종플루, AI 등)",
조선내화,480,"내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",http://www.chosunref.co.kr,비철금속,,
현대약품,4310,"타코실, 마이녹실, 테놀민, 미에로화이바 등",http://www.hyundaipharm.co.kr,제약,치매,
남양유업,3920,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매",http://www.namyangi.com,식품,엔젤산업,
남선알미늄,8350,알미늄샷시 제조/환경사업,http://www.namsun.co.kr,비철금속,비철금속,SM
한국화장품제조,3350,"화장품(OEM,ODM)",http://www.hkcosm.com,화장품,화장품,
DL건설,1880,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",http://www.dlconstruction.co.kr,건설,건설 중소형,대림
현대코퍼레이션,11760,"자동차,철강,기계,선박,플랜트,컴퓨터,전자제품 수출,수출입대행/자원(탄광,유전) 개발",http://www.hyundaicorp.co.kr,무역회사와판매업체,자원개발,현대중공업
LS,6260,"전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매",http://www.lsholdings.co.kr,전기장비,무선충전기술,LS
SK네트웍스,1740,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업",http://www.sknetworks.co.kr,복합기업,자원개발,SK
경농,2100,"완제농약(잡초약,살충제,살균제) 제조",http://www.knco.co.kr,화학,남북경협,
티웨이홀딩스,4870,"레미콘,콘크리트파일,완구 제조/미니어쳐테마파크 운영",http://www.twayholdings.com,항공사,항공/저가 항공사(LCC),
동방아그로,7590,"농약(잡초발생전 토양처리형 밭잡초약,부메랑,주움,그라목손) 제조,도매",http://www.dongbangagro.co.kr,화학,태풍 및 장마,
송원산업,4430,"폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조",http://www.songwon.com,화학,日 수출 규제(국산화 등),
진흥기업,2780,"아파트건설,토목공사,건축공사,국내도급공사",http://www.chinhung.co.kr,건설,건설 중소형,효성
한국석유공업,4090,"석유류제품(솔벤트,부로운아스팔트,방수시트몰터프라스,메타놀,빙초산) 제조,도소매/부동산 임대",http://www.koreapetroleum.com,,,
천일고속,650,"고속버스운수(경부선,44개 노선),도로여객운수업,운수창고업,유류판매,부동산 임대",http://www.chunilexpress.com,도로와철도운송,,
대원강업,430,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매",http://www.dwku.com,자동차부품,수소차(연료전지/부품/충전소 등),
만호제강,1080,"와이어로프,합성섬유로프,특수강선 제조,수출,임대",http://www.manhorope.com,철강,철강 중소형,
조광피혁,4700,"가죽(피혁원단,제화용원단,카시트용원단),가방,신발 제조,도매",http://www.chokwang.co.kr,"섬유,의류,신발,호화품",,
세방,4360,"도로운송,항만하역,창고,지게차 임대",http://www.sebang.com,항공화물운송과물류,종합 물류,
동양철관,8970,"수도용 도복장 강관,주물(강관말뚝),가스관 제조/아파트건설",http://www.dysp.co.kr,철강,철강 중소형,
대유에이텍,2880,자동차부품(자동차용 시트)제조,http://www.dayouat.co.kr,자동차부품,조림사업,
남광토건,1260,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조",http://www.namkwang.co.kr,건설,건설 중소형,
삼영전자공업,5680,"전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매",http://www.samyoung.co.kr,,,
신영와코루,5800,"여성용 내의류(화운데이션,란제리,블래지어),환자,노령자용 파자마,남성용 내의류 제조",http://www.shinyoungwacoal.co.kr/,"섬유,의류,신발,호화품",패션/의류,
오리엔트바이오,2630,의약품 제조,http://www.orient.co.kr,생물공학,메르스 코로나 바이러스,
조비,1550,"복합비료(연초용,수도용,시판용,특수작물용),양액재배용 비료,완효성 비료,부직포 제조,무역",http://www.chobi.co.kr,화학,남북경협,
한국공항,5430,"항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업",http://www.kas.co.kr,운송인프라,,한진
조광페인트,4910,"도료(우레탄,에나멜,락카,특수도료) 제조,도매",http://www.chokwangpaint.co.kr,건축자재,페인트,
삼천리,4690,도시가스 공급/부동산 임대,http://www.samchully.co.kr,가스유틸리티,겨울,삼천리
성보화학,3080,"완제농약(해비치과립,카스텔란),원제농약(슈퍼유나니,다이아톤) 제조,도매",http://www.sbcc.kr,화학,농업,
조흥,2600,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매",http://www.choheung.co.kr,식품,음식료업종,
금양,1570,"발포제,사카린,OPTSA,베나졸,TCA 제조",http://www.kyc.co.kr,화학,2차전지,
사조대림,3960,"게맛살,어육연제품,식용류,배합사료 제조",http://dr.sajo.co.kr,식품,구제역/광우병 수혜,
비비안,2070,"여성내의류(스타킹,화운데이숀,란제리),카바링사 제조,수출입/부동산 매매,임대",http://www.namyeung.co.kr,"섬유,의류,신발,호화품",메타버스(Metaverse),
SNT중공업,3570,"자동차부품(동력전달장치 등),공작기계(CNC선반 등),사출성형기 제조",http://www.hisntd.com,자동차부품,자동차부품,
한신공영,4960,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",http://www.hanshinc.com,건설,건설 중소형,
농심,4370,"라면,스낵,유지 제조,도매,수출입",http://www.nongshim.com,식품,환율하락 수혜,
삼영화학공업,3720,"합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조",http://www.sycc.co.kr,,,
성신양회,4980,"시멘트,레미콘 제조",http://www.sungshincement.co.kr,건축자재,시멘트/레미콘,
신라교역,4970,"원양어업(참치,명태,휠레트,연육,명란,새우),어획물 판매/직물 수출",http://www.sla.co.kr,식품,구제역/광우병 수혜,
신풍제지,2870,"마닐라판지 제조,도소매",http://www.shinpoongpaper.com,포장재,제지,
종근당홀딩스,1630,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",http://www.ckd-holdings.com,제약,코로나19(나파모스타트),
크라운해태홀딩스,5740,"비스켓,쵸코렛,사탕,웨이퍼 제조,도매",http://www.crown.co.kr,식품,日제품 불매운동(수혜),
한독,2390,"의약품(소화제,크라포란,라식스)제조,도매,부동산 임대",http://www.handok.co.kr,제약,의료기기,
SG글로벌,1380,"자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매",http://www.sgglobal.co.kr,자동차부품,자동차부품,
SK디스커버리,6120,"화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,",http://www.skdiscovery.com,석유와가스,지주사,SK
샘표,7540,"간장,된장,고추장 제조,가공,판매,무역",http://www.sempio.com,식품,지주사,
흥아해운,3280,외항화물운송업(케미컬탱커),http://www.heung-a.com,해운사,해운,
GS글로벌,1250,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",http://www.gsgcorp.com,무역회사와판매업체,자원개발,GS
금호건설,2990,"종합건설/여객운송,관광/부동산 임대,분양",http://www.kumhoenc.com,건설,건설 중소형,금호아시아나
삼부토건,1470,"토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조",http://www.sambu.co.kr,건설,건설 중소형,
삼화콘덴서공업,1820,콘덴서(축전기) 제조,http://www.samwha.com,,,
페이퍼코리아,1020,"제지(신문용지,중질지),합판 제조,건설,석유류 판매",http://www.papercorea.co.kr,종이와목재,제지,
동양,1520,레미콘/건설공사/산업용 송풍기,http://www.tongyanginc.co.kr,건축자재,시멘트/레미콘,유진
한화,880,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",http://www.hanwhacorp.co.kr,생명보험,태양광에너지,한화
JW중외제약,1060,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",http://www.jw-pharma.co.kr,제약,코로나19(진단/치료제/백신 개발 등),
영풍,670,"제1차 금속산업(아연괴,황산,카드뮴괴),건전지 제조,무역",http://www.ypzinc.co.kr,핸드셋,비철금속,영풍
백광산업,1340,"가성소다,합성염산 제조,판매",http://www.pkic.co.kr,화학,메르스 코로나 바이러스,
성창기업지주,180,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",http://www.sce.kr,종이와목재,조림사업,
한창,5110,"소화기, 통신장비 유통",http://www.hanchang.co.kr,부동산,남북경협,
삼화왕관,4450,"납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출",http://www.samhwa.co.kr,포장재,,
KR모터스,40,"이륜차(오토바이) 제조,도매",http://www.krmotors.com,자동차,,
고려제강,2240,"PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매",http://www.kiswire.com,철강,철강 주요종목,
태양금속공업,4100,"자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조",http://www.taeyangmetal.com,,,
SUN&L,2820,"합판,가정용가구(선우드),MDF,제재목,하드보드 제조/부동산 임대",http://www.sunwood.co.kr,종이와목재,리모델링/인테리어,
DRB동일,4840,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",http://drbworld.com,자동차부품,자동차부품,
넥센타이어,2350,"타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조",http://www.nexentire.com,자동차부품,타이어,
SG세계물산,4060,"피복류,봉제품,P.E제품 수출입,도매,제조/조경사업",http://www.sgsegye.com,"섬유,의류,신발,호화품",패션/의류,
롯데정밀화학,4000,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조",http://www.lottefinechem.com,화학,남북경협,롯데
동화약품,20,"의약품 제조,판매,수출입",http://www.dong-wha.co.kr,제약,제약업체,
DL,210,지주회사,http://www.dlholdings.co.kr,건설,건설 대표주,대림
LG상사,1120,"전자,기계,화공,유류.금속,의류 수출입,도소매",http://www.lgicorp.com,무역회사와판매업체,자원개발,LG
국제약품,2720,"항생제,안약,제약 제조,도매",http://www.kukjepharm.co.kr,제약,마스크,
태광산업,3240,"석유화학제품(PTA,AN),화섬사,직물 등",http://www.taekwang.co.kr,화학,석유화학,태광
부산주공,5030,"자동차부품(엔진부품,조향장치부품,브레이장치부품,오토미셧부품) 제조,도매/부동산 임대",http://www.pci21c.com,자동차부품,자동차부품,
한일현대시멘트,6390,"시멘트,시멘트반제품 제조,판매/콘도미니엄,스키장,종합레저관광산업,체육진흥사업,사업서비스",http://WWW.HANILHDCEMENT.COM,건축자재,시멘트/레미콘,
CS홀딩스,590,"브랜드 수익, 자회사 배당",http://www.chosunwelding.com,철강,지주사,
신성통상,5390,"의류,악세사리(모자,벨트,가방) 도매/의류 제조",http://www.ssts.co.kr,"섬유,의류,신발,호화품",日제품 불매운동(수혜),
DB하이텍,990,반도체 제조,http://www.dbhitek.co.kr,반도체와반도체장비,반도체 대표주(생산),DB
대림통상,6570,"수전금구,비데,위생도기,샤워부스,타일,양식기,무역",http://www.dlt.co.kr,건축제품,,
유유제약,220,"의약품 제조,판매",http://www.yuyu.co.kr,제약,치매,
강남제비스코,860,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",http://www.jevisco.com,건축자재,페인트,
대신증권,3540,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",http://www.daishin.com,증권,증권,
NH투자증권,5940,"증권업,종합금융",http://www.nhqv.com,증권,인터넷은행,농협
미래에셋증권,6800,"유가증권매매,유가증권위탁매매,유가증권인수",http://securities.miraeasset.com,증권,증권,미래에셋
신일전자,2700,"가정용 전기기구(선풍기,난로,세탁기),전자기구,연구기구 제조,수출입",http://www.shinil.co.kr,가정용기기와용품,제습기,
삼성제약,1360,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매",http://www.sspharm.co.kr,제약,제약업체,
삼성화재해상보험,810,"손해보험의 원수,재보험,운용자산의 투자활동",http://www.samsungfire.com,,,
삼양식품,3230,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매",http://www.samyangfood.co.kr,식품,음식료업종,
한화손해보험,370,손해보험,http://www.hwgeneralins.com/,손해보험,손해보험,한화
NI스틸,8260,"스틸파이프,철강재임가공 제조,도매",http://www.hcr4u.com,철강,철강 중소형,
일동홀딩스,230,"의약품 제조,도매",http://www.ildong.com,제약,지주사,
대동,490,"경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매",http://www.daedong.co.kr,기계,태풍 및 장마,
오리온홀딩스,1800,자회사 관리 지주사업 등,http://www.oriongroup.co.kr,식품,지주사,
깨끗한나라,4540,"펄프,판지원지,화장지 제조,수출입",http://www.kleannara.com,종이와목재,제지,
태원물산,1420,"자동차부품,워터펌프,인산정제석고,건축자재(불연내장재), 제조,수출입",http://www.twms.co.kr,자동차부품,비료,
코오롱,2020,지주회사,http://www.kolon.com,화학,두나무 관련주,코오롱
삼성전자,5930,"IMT2000 서비스용 동기식 기지국,교환국장비,데이터단말기,동영상휴대폰,핵심칩,반도체제품,사무,계산 및 회계용기계",http://www.sec.co.kr,반도체와반도체장비,IT 대표주,삼성
대유플러스,300,"유,무선 통신장비",http://www.dayouplus.co.kr,자동차부품,비철금속,
BYC,1460,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",http://home.byc.co.kr,"섬유,의류,신발,호화품",日제품 불매운동(수혜),
쌍용자동차,3620,"자동차,자동차부품,차륜,정비 제조/도소매",http://www.smotor.com,,,
쌍용씨앤이,3410,시멘트(크링카),http://www.ssangyongcement.co.kr,,,
SPC삼립,5610,"빵,아이스크림,과자,케익,유산균음료,인스턴트식품,병조림,면류,식용유 제조,판매",http://www.samlipgf.co.kr,식품,음식료업종,
흥국화재,540,손해보험,http://www.insurance.co.kr,손해보험,손해보험,태광
우리종금,10050,"종합금융,주택할부금융,부동산",http://wooriib.com,기타금융,,
일양약품,7570,"일반의약품(원비디,영비천,아진탈,디세텔,노루모산),항암제(베타-이뮤난),전문의약품 제조,판매,수출입",http://www.ilyang.co.kr,제약,코로나19(진단/치료제/백신 개발 등),
한진,2320,"포장화물,택배산업,항만하역,고속버스사업,운수보관",http://www.hanjin.co.kr,항공화물운송과물류,종합 물류,한진
한국수출포장공업,2200,"골판지상자,골판지원지 제조,판매",http://www.keppack.co.kr,,,
현대자동차,5380,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",http://www.hyundai.com,,,
모나미,5360,"BP153(BALL POINT PEN), P-3000(PLUS PEN), 유성매직, 보드마카, 네임펜, PARKER, WARTERMAN, 색연필",http://www.monami.com,문구류,엔젤산업,
한화솔루션,9830,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",http://hcc.hanwha.co.kr,화학,석유화학,한화
아세아,2030,"회사본부,지주회사 및 경영컨설팅 서비스업",http://asiaholdings.co.kr,포장재,지주사,
카프로,6380,"카프로락탐,유안비료 제조",http://www.hcccapro.co.kr,화학,비료,
롯데지주,4990,지주회사,http://www.lotte.co.kr,식품,편의점,롯데
대한방직,1070,"면사,화섬사,면직물 제조,판매,건설",http://www.thtc.co.kr,"섬유,의류,신발,호화품",,
서울식품공업,4410,"빵,스넥,마아가린,유지류,사료 제조,도매",http://seoul-food.co.kr,,,
아이에이치큐,3560,"매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",http://www.ihq.co.kr,,,
LS네트웍스,680,"혁화,의류,등산용품 도매,제조/부동산 임대",http://www.lsnetworks.co.kr,"섬유,의류,신발,호화품",패션/의류,LS
금호전기,1210,"형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매",http://www.khe.co.kr,디스플레이장비및부품,LED,
하이트진로홀딩스,140,지주회사,http://www.hitejinroholdings.com,음료,"주류업(주정, 에탄올 등)",하이트진로
노루홀딩스,320,지주사업,http://www.norooholdings.co.kr,건축자재,지주사,
기아,270,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",http://www.kia.co.kr,자동차,자동차 대표주,현대자동차
효성,4800,"스판덱스,합성원사,나일론,폴리에스터,타이어코드지,PET병,수지제품,중전기제품(변압기,차단기),사무용기계,컴퓨터 제조/건축공사",http://www.hyosung.com,복합기업,지주사,효성
CJ,1040,지주회사,http://www.cj.net,복합기업,지주사,CJ
두산,150,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",http://www.doosancorp.co.kr,복합기업,지주사,두산
휴스틸,5010,"강관(배관용,구조용,유정용) 제조,도매",http://www.husteel.com,철강,철강 중소형,
DB손해보험,5830,"자동차보험,화재보험,해상보험,특종보험,장기보험",http://www.idbins.com,손해보험,손해보험,DB
TYM,2900,"농기계,연초용필터,금속제양식기,철강압연 제조,도매,수출입/신문서적 수출입,판매",http://tym.world,기계,농업,
대웅,3090,"지주회사/의약품,화공약품,농예약품,위생용품,의료용구,식품,전기전자기구,부품 제조,판매",http://www.daewoong.com/,제약,코로나19(진단/치료제/백신 개발 등),
진양산업,3780,"합성수지,폴리우레탄스폰지 제조,도매,수출입",http://www.cyc1963.com,화학,,
영진약품,3520,"의약품(드링크제,항생제,영양수액제),의약부외품 제조,판매",http://www.yungjin.co.kr,제약,슈퍼박테리아,케이티앤지
케이씨씨,2380,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",http://www.kccworld.co.kr,,,
롯데칠성음료,5300,"청량음료,과채류음료,곡류음료,주류 제조,판매/자동차정비,연수원",http://company.lottechilsung.co.kr,,,
일신방직,3200,"면사,P/C혼방사,P/C혼방직물,화섬사 제조,수출",http://www.ilshin.co.kr,"섬유,의류,신발,호화품",,
롯데푸드,2270,"빙과,유지,식품 제조",http://www.lottefoods.co.kr,식품,여름,롯데
아모레퍼시픽그룹,2790,지주회사,http://www.apgroup.com,,,
제주은행,6220,"은행업무,외국환업무,신탁업무",http://www.e-jejubank.com,은행,은행,
한솔홀딩스,4150,"지주회사,경영자문컨설팅",http://www.hansol.com,종이와목재,골판지 제조,
벽산,7210,"단열재, 천장재, 외장재, 내장재, 외단열, 바닥재 등",http://www.byucksan.com,건축자재,리모델링/인테리어,
롯데손해보험,400,손해보험업,http://www.lotteins.co.kr,손해보험,손해보험,롯데
대한제분,1130,"소맥분,토코밀,프리믹스,밀가루조제품,제분부산물 제조/파스타 수입,판매",http://www.dhflour.co.kr,식품,환율하락 수혜,
대상,1680,"전분,라이신,물엿,과당,포도당,MSG및 사료,조미료,항생제,핵산,커피 제조,도매/토목공사,건축공사",http://www.daesang.co.kr,식품,환율하락 수혜,
LG,3550,지주회사,http://www.lg.co.kr,복합기업,블록체인,LG
동아쏘시오홀딩스,640,"의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산",http://www.donga.co.kr,제약,제약업체,
코리안리,3690,금융보험/부동산 임대,http://www.koreanre.co.kr,손해보험,손해보험,
한국주철관공업,970,"수도용주철관,강관 제조",http://www.kcip.co.kr,,,
한일홀딩스,3300,지주사업,http://www.hanil.com,건축자재,지주사,
엔피씨,4250,"산업용기프라스틱제품(플라스틱 파렛트,시트 파렛트) 제조,판매",http://www.npc.co.kr,,,
세아제강지주,3030,경영컨설팅업,http://www.seahsteel.co.kr/company/holdings/,철강,지주사,세아
대한전선,1440,"전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사",http://www.taihan.com,전기장비,전선,
대한제당,1790,"제당,가축용 배합사료,설탕,기능성감미료(자일로올리고당),외식산 제조,도소매/부동산 임대",http://www.ts.co.kr,식품,환율하락 수혜,
삼양홀딩스,70,"지주회사,경영자문컨설팅",http://www.samyang.com,식품,환율하락 수혜,삼양
세기상사,2420,"극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대",http://daehancinema.com,방송과엔터테인먼트,영화,
한국앤컴퍼니,240,비금융지주회사,http://www.hankook-technologygroup.com,자동차부품,전기차,한국타이어
전방,950,"면사,면혼방사,마혼방사,화섬사,염색사,자수사,소모사,면직물,면혼방직물,화섬직물,특수가공직물 제조,판매,수출",http://www.chonbang.co.kr,"섬유,의류,신발,호화품",,
대한항공,3490,"여객운송,화물운송,항공기 제조,판매,정비수리/기내식 제조판매,면세품 판매",http://www.koreanair.com,항공사,환율하락 수혜,한진
디아이동일,1530,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",http://www.dong-il.com,,,
유한양행,100,"의약품(삐콤씨,알마겔,세파졸린주사,아코텍스주사,이세파신,신생아호흡곤란치료제 등),생활용품(유한락스,비누,홈키파),식혜 도매",http://www.yuhan.co.kr,제약,"백신/진단시약/방역(신종플루, AI 등)",
CJ대한통운,120,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",http://www.cjlogistics.com,항공화물운송과물류,종합 물류,CJ
메리츠화재,60,"손해보험(화재,해상,운송보험)",http://www.meritzfire.com,손해보험,손해보험,
경방,50,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",http://www.kyungbang.co.kr,"섬유,의류,신발,호화품",,
유수홀딩스,700,지주사업,http://www.eusu-holdings.com,항공화물운송과물류,블록체인,한진
한진중공업홀딩스,3480,지주회사,http://www.hhic-holdings.com,가스유틸리티,지주사,
